city,count,coord
Москва,59,"[55.755864,37.617698]"
Пушкино,8,"[56.011318,37.847164]"
Санкт-Петербург,6,"[59.938784,30.314997]"
Лесной,2,"[58.635513,59.79863]"
Ульяновск,1,"[54.314192,48.403132]"
Düsseldorf,1,"[51.230569,6.787428]"
Екатеринбург,1,"[56.838011,60.597474]"
Таганрог,1,"[47.208735,38.936694]"
Щелково,1,"[55.92022,37.991532]"
Реутов,1,"[55.760515,37.85515]"
Beacon Hills,1,"[30.382403,-81.507793]"
Чебоксары,1,"[56.139918,47.247728]"
Воркута,1,"[67.493504,64.050113]"
Набережные Челны,1,"[55.741272,52.403662]"
Пермь,1,"[58.010455,56.229443]"
Miami Gardens,1,"[33.411902,-110.824591]"
Курск,1,"[51.730846,36.193015]"
Praha,1,"[50.080345,14.428974]"
Tokyo,1,"[35.681729,139.753927]"
Gayville,1,"[44.370499,-103.760087]"
Нижний Новгород,1,"[56.326797,44.006516]"
Zürich,1,"[47.386972,8.534139]"
Уфа,1,"[54.735152,55.958736]"
